Site,Switch Name,IP
,DLC-Wickwoods-Electrical,10.32.162.250
,DLC-Wickwoods-Pilates,10.32.162.249
,DLC-Wickwoods-Gym,10.32.162.248
,DLC-Wickwoods-Main-1,
,DLC-Wickwoods-Lnyxight,10.32.153.253
,,10.32.153.252
Cricklewood,DLC-Cricklewood-Main,10.32.153.251
,DLC-Cricklewood-Main-2,10.32.153.250
,DLC-Cricklewood-1stPlant,10.32.153.249
,DLC-Cricklewood-Lynxight,
,,10.32.155.253
Modena,DLC-Modena-Main,10.32.155.252
,DLC-Modena-2nd,
,DLC-Modena-Lynxight,10.32.154.253
,,10.32.154.252
Enfield,DLL-Enfield-MainComms,
,DLC-Enfield-BlazeOffice,10.32.160.253
,DLL-Enfield-SubRack,10.32.160.251
,DLC-Enfield-MainComms-2,10.32.160.249
,DLC-Enfield-Lynxight,
,,10.32.165.252
Boadilla,DLC-Boadilla-12P,10.32.165.251
,Boadilla-48P-1,10.32.165.250
,Boadilla-48P-2,10.32.165.249
,DLC-Boadilla-Spa,10.32.165.248
,DLC-PadelKiosk,10.32.165.247
,,10.32.165.246
Geneva Country Club,Geneva-CC,10.32.165.245
,GCC-MainRack-2,10.32.165.244
,DLC-Geneva-Gym,
,DLC-Geneva-CC-Lynxight,10.32.157.253
,,10.32.157.252
Shrewsbury,DLC-Shrewsbury-Main,10.32.157.251
,DLC-Shrewsbury-Lnyxight,10.32.157.250
,DLC-Shrewsbury-Temp-1,
,DLC-Shrewsbury-Gym,10.32.159.253
,DLC-Shrewsbury-Temp-3,10.32.159.252
,DLC-Shrewsbury-Spa,10.32.159.251
,DLC-Shrewsbury-Temp-5,
,DLC-Shrewsbury-Wifi,10.32.3.253
,,10.32.3.252
Harlow,DLC-Harlow-Core,10.32.3.251
,DLC-Harlow-Main-2,10.32.3.250
,DLC-Harlow-HiEnergy,10.32.3.249
,DLC-Harlow-Blaze,
,DLC-Harlow-Audio,10.32.161.253
,DLC-Harlow-SportsHall,10.32.161.252
,,10.32.161.251
Colliers Wood,DLC-Collierswood-MainComms-1,10.32.161.250
,DLL-Collierswood-Reception,10.32.161.249
,DLC-ColliersWood-MainComms-2,
,DLC-ColliersWood-Subrack,10.32.243.253
,,10.32.243.252
Herne Bay,DLC-HerneBay- Core - Router Uplinks,10.32.243.251
,DLC-HerneBay-MainComms,10.32.243.250
,DLC-HerneBay-HiEnergy,
,DLC-HerneBay-Blaze,10.32.167.253
,DLC-HerneBay- Main Audio Rack,10.32.167.252
,DLC-HerneBay- ,10.32.167.251
,DLC-HerneBay- Sports Hall,10.32.167.250
,,10.32.167.249
,,10.32.167.248
,,10.32.167.247
,,10.32.167.246
,,
,,10.32.170.253
,,10.32.170.252
,,10.32.170.251
,,10.32.170.250
,,10.32.170.249
,,10.32.170.247
,,
,,10.32.171.253
,,10.32.171.252
,,10.32.171.251
,,10.32.171.250
,,
,,10.32.168.253
,,10.32.168.252
,,10.32.168.251
,,10.32.168.250
,,10.32.168.249
,,10.32.168.248
,,10.32.168.247
